comment,toxic
"Ищу женщину, которой нравится куни",1
"Ищу девушку, готовую к экспериментам",1
Для сумасшедшего секса,1
Хочу жёстко!,1
Девушка 23 года хочет найти женственную девушку/женщину в Москве,1
Полизать взрослой женшине,1
Встречусь с парой МЖ до 55 лет! Мне 28,1
"Привет, не прочь провести красочный вечер или даже может утро!)",1
Ищу зрелую женщину. Или несколько подруг,1
Добрая милая девушка готова к откровенным встречам!!!!,1
Ищу раскрепощенную женщину без комплексов и без выноса мозга,1
"Ищу девушку для пары встрече либо Вирт , пишите !",1
"Приглашу на кофе, сегодня!",1
Знакомство с пожилым,1
"Кунимен. Пишите дамы, вам будет в кайф",1
Меня интересует знакомство с онанистом.,1
Женщина 50 лет хочет найти высокую лесби в Москве,1
"Хочу, чтобы меня соблазнил взрослый мужчина от 40 лет",1
"Ищу Господина, который сделает своей служанкой или рабыней и...",1
"Пригласим девушку, Москва",1
Умную девушку ищу,1
Ищу девушку для постоянных встреч или на 1-2 раза,1
Мужчина ищет беременную женщину для интима,1
"Ищу пышную, сексуальную",1
Мальчика для первого опыта,1
"Стройная, позитивная девушка",1
"Ищу новые, приятные знакомства",1
"Познакомлюсь с девушкой для общения, дружбы и приятного...",1
"Тушите меня, горю",1
"Девушки, хочу секса без обязательств на нейтральной территории,...",1
Без обязательств секс,1
"Мужчина ищет женщину/девушку, любящих секс без ограничений",1
"Ищу лакомый кусочек для того, чтобы наслаждаться ею (даму)",1
Хочу снять напряжение,1
"Без опыта в теме, ищу доминирующую мадам",1
"Ищу пошленькую, без разницы, девушка или женщина, я девственник",1
Молодой для зрелый,1
Ищу интересную и адекватную девушку,1
Ищу для свободных встреч раскрепощенную девушку от 20 до 36,1
Ищу подружку для интима,1
Пара МЖ ищет стройную секс рабыню до 30 лет,1
Ищу постоянные или длительные отношения на стороне,1
"Ищу мужчину 18-35 лет для глорихола, мастурбации или скайпа, я...",1
"Неопытный парень, ищу девушку для секса без обязательств",1
"Милые дамы, в вашем распоряжении",1
"Просто секс без обязательств, Москва и только",1
Секс с семейной парой,1
Парень ищет умелую женщину/девушку,1
"Девственник, хочу набраться опыта",1
Доставлю удовольствие и обслужу ртом по полной,1
Ищу любовницу в Москве,1
Пара 40 лет хочет найти девушку в Москве,1
Надоели отношения - пиши,1
"Готов встречаться, хочу кушать, мамочки",1
Приглашу на сессию,1
Хочу сделать приятно незнакомке в примерочной/туалете/парке,1
Познакомлюсь с женщиной или парой МЖ,1
Ищу приятного мужчину для встреч,1
"Ищу девушку для секса и приятного времяпровождения, без...",1
Дамам сделаю приятно,1
Ищу сообщницу для секса,1
Лесби-секс,1
"Парень 27 лет, ищу пару мж",1
"Девственник, 24, ищу ту, которая всему научит",1
Женщину старше 50-ти лет для вирта,1
"Ищу девушку для интимных встреч, место с меня и остальные плюшки...",1
Познакомлюсь с одинокой женщиной,1
Встреча для орального секса,1
"В поисках пары, Москва, САО",1
Госпожа ищет вирт,1
Ищу ММ для секса,1
"Женщины и девушки, работа занимает много времени, нет...",1
"Ищу прекрасную девушку, любого возраста, для прекрасного...",1
Би актив ищет кроссика,1
"Ищу девушку, Москва, с большой грудью, для приятных встреч",1
Симпатичный молодой человек ищет девушку,1
Познакомлюсь без обязательств и вмешательств в личную жизнь,1
Ищу девушку для легких отношений и встреч.,1
"Познакомлюсь с девушкой или парой, для бурного секса",1
Просто секс не более,1
Молодой би парень ищет свою зрелую госпожу),1
"Ищу приятную женщину для интимных встреч (куни, 69, классика,...",1
"Есть огромное желание отсосать красивый, мощный член",1
Парень ищет развратную би пару,1
Даме куни,1
Юный для грудастой или зрелой,1
Ищу партнершу/партнерш для интимных встреч без обязательств,1
Хочу познакомиться с парнем для интимных отношений,1
Очень люблю сильные мужские руки,1
Госпожа проездом в вашем городе!,1
"Молодая, нежная девушка познакомится для секса",1
"Ищу, кто любит оральный секс, кто готов на реальные встречи, а...",1
Ищу женщину в возрасте,1
Встречи для взаимных приятностей,1
Ищу девушку для тайных встреч,1
"Красивая, молодая студентка",1
М ищет взрослую пару или женщину,1
Ищу любовницу для страстного секса в Москве,1
Ищем девушку или красивую молодую пару,1
"Голубоглазый блондин, хочет познакомиться с нежной и милой...",1
Ищу 30+,1
Милые и очаровательные девушки),1
Я по девушкам и я не гей и не би,1
Кути и совместная мастурбация,1
"Ищу пару МЖ или девушку для страстного секса, в Москве,...",1
Девственник для тебя,1
Незабываемый орал,1
Только секс. Без каких либо обязательств,1
"Ищу любовницу, не коммерция! Главное взаимная симпатия",1
Ищу парня/мужчину для вирта или встреч. Строго до 30/35. Готов...,1
Секс на Вашей территории или на нейтральной,1
Девушка 25 года хочет найти парня Москва,1
"В поисках нижней, Москва и ближнее Подмосковье",1
Ищу парня для вирта или встреч с продолжением. Люблю парней от...,1
Ищу девушку или женщину для интима,1
Ищем девушку для новых впечатлений,1
Хочется женской ласки и тепла,1
Ищу удовольствия на 1-2 раза,1
Познакомлюсь с умной дамой,1
"Милые дамы, не стесняйтесь",1
Я ищу взрослого мужчину Господина для совместного проживания или...,1
Ищу взрослого мужчину Господина для совместного проживания или...,1
"Не пожалеешь, если напишешь",1
"Я нижний раб би, ищу доминирующую госпожу 49-65 лет",1
"Стройный , подтянутый и очень активный :)",1
"Стану рабыней служанкой мужчине,даже пожилому или двум или...",1
Пассив и Актив,1
Кто аккуратно и осторожно,1
"Мне 21, рост 189",1
"Я - Ника, мне 27 лет",1
Девушка 27 лет хочет найти девушку в Москве,1
"Ищу ту, которой всегда мало, и жаждет себе любовника",1
Ищу своё нимфу,1
"Молодой парень ищет секс, куни",1
"Доброго времени суток, ищу даму от 30 лет без обязательств, имею...",1
Дрочун 19 лет,1
"Приглашу акта, хочу попробовать в пассиве или отсосу",1
Молодая и симпатичная девочка,1
Парень 23 года ищет любовницу для постоянных встреч,1
Предлагаю вам сделать нежный кунилингус до оргазма! Я буду твоим...,1
Приглашаем на замечательную вечеринку по воплощению сексуальных...,1
Ищу любовницу для нечастых встреч на её территории,1
Хочу встретиться с горячим мужчиной,1
"Ищу любительницу анала, без коммерции, готовая лишить...",1
Спортивный парень 28 лет хочет найти девушку в Москве,1
Ищу девушку для общения,1
Отсосу у сладенького! Не коммерция,1
"Молодой, сильный парень",1
Любишь быть в образе сладкой девочки?,1
Ищу мужчину),1
Ищу акта от 45,1
Знакомств для секса,1
"Ищу девушку для секса, пишите, не стесняйтесь, девушки до 30...",1
Встречусь с девушкой для удовлетворения самых страстных желаний,1
"Красногорск, Архангельское, Митино, Строгино, Нахабино: ищу...",1
"Молодая девушка ищет парня, мужчину",1
"Ищу девушку или женщину, которая не против сесть на лицо...",1
Отдых и общение,1
Ищу девушку для жарких переписок и не только,1
Мужчина познакомится с женщиной,1
Доставлю удовольствие женщине,1
Мечтаю о неверной жене,1
Сладкая кошечка ждет,1
Встречусь для взаимоприятного времяприпровождения,1
Ищу одинокую женщину,1
Красивый парень с сексуальным агрегатом,1
Семейная пара ищет парня для встреч,1
Ищу пару для игры в куколда,1
В поисках женщины от 30 лет для жёсткого секса!,1
"Любовницу, кому нравится размер 21*5",1
"Здесь есть, кто хочет реальных встреч",1
Познакомлюсь с горячей девушкой,1
Ищу симпатичную женщину,1
Ищу даму от 30,1
"Ищу девушку для нечастых встреч, для удовлетворения взаимных...",1
"Ищу девушку, двух или пару для получения совместного...",1
"Девушку, женщину, для встреч без вмешательств в личную жизнь",1
"Ищу мужчину для ласк, ануса, целоваться, обниматься, оральные...",1
Ищу подругу для постоянных встреч,1
"Ищу постоянную любовницу для редких, но незабываемых встреч",1
Ищу семейную пару или женщину,1
"Мне 19, хочу секс с женщиной постарше (35+), с меня куни",1
"Пара, нижние, ждем",1
"Предлагаю секс на один, два раза",1
Ищу девушку для утех 18-35 лет,1
"Симпатичная, ищу интима и страсти, Москва",1
Кто часто думает о сексе - пишите,1
Секс в необычных местах,1
Ищу девушку для секса и дружбы,1
Ищу девушку для разовой встречи,1
Хочу просто трахаться,1
Девушка познакомится для виртуальных шалостей с парнем,1
Сексуальная лихорадка у меня,1
"Готов доставить удовольствие, куни, массаж и любые другие...",1
Приглашаю мужчину в гости,1
Ищу адекватную,1
Куни от актива,1
Парень 30 лет хочет найти девушку для экспериментов в Москве,1
Приятное времяпрепровождение ищу,1
Только для ЖЖ,1
"Любительницу куни, ани, фистинга",1
Постарше (30+),1
Симпатичная девушка без лишних комплексов встретится и...,1
Ищу взрослую любовницу,1
"Хочу выместить любовь и страсть, накопившиеся в связи нехватки...",1
Ищу девушку для приятных встреч и общения,1
Познакомлюсь с девушкой для встреч,1
Ищу девушку для хорошего времяприпровождения,1
Ищу парня дня секса,1
Хочу любую и постоянно,1
Тайные встречи для смелых фантазий,1
Познакомлюсь с моей девочкой для её оргазма,1
"Где  же ты, самая нежная моя, ищу тебя уже давно, напиши мне",1
"Ищу красотку, с которой нам явно не будет скучно",1
"Ищу того, кто лишит анальной девственности и всему научит",1
"Ищу девушку для страстного секса, не важно, какая ты по...",1
Ищу девушку от 18 до 50 для секса,1
Твой Джинн ждет,1
"Любительницы фистинга, ау",1
"Есть чем удивить, пишите, и мы всё обсудим",1
Познакомлюсь с девушкой 29+,1
"Ищу молодую, готовую приехать в любой момент",1
С удовольствием встречусь,1
Лучшая девушка для приятностей,1
Ищу девушку для встречи и общения,1
Куни женщинам любого возраста,1
"Даме куни, пиши",1
"Сделаю куни и массаж ради удовольствия, член большой, толстый,...",1
Молодой 18-летний студент ищет секс без обязательств,1
Чпок на раз,1
Желаю скоротать время с прекрасным мужчиной из Москвы,1
Горячая киска ищет своего хозяина,1
Ищу сексуальную и опытную женщину,1
"Приветик, я девочка, ищу мужчину на вечер",1
Я безумно приятный,1
Ищу даму от 40 лет,1
"Ищем женщину, мы пара, м 25, ж 22",1
"Посмотрю, как мастурбирует девушка",1
"Латекс, кожа, ЖМЖ",1
Ищу женщину до 40,1
"Привет, девушки, пишите",1
Ищу даму 30-35 лет для приятных встреч,1
Ищу взрослого мужчину для конфиденциальных встреч,1
Ищем красотку для жаркой ночи,1
Ищу привлекательную женщину для тайных встреч,1
Хочу страстного секса с прелестной девушкой,1
Регулярно встречи хочу,1
Молодая горячая девушка ищет симпатичного парня для совместного...,1
"Хочется развлечься, жду",1
Романтика и прекрасный вечер,1
"Будет жарко, пиши",1
"Пара МЖ, ищем М для секса",1
Встреча на вечер,1
Буду рада встрече,1
Молодая и горячая девушка ищет интересной встречи,1
Готова на все,1
Интересная встреча нужна,1
"Ищем партнера, мы пара",1
"Пасс, полный, Москва",1
"Красивый парень ищут девушку, или же милфу",1
Подарю виртуальное наслаждение мужчине,1
Ищу парня для вирт секса,1
"Я пасс, ищу пару МЖ, транса",1
"Пишите мне, девочки",1
Ищу партнера для первого раза,1
Буду постоянным лизуном киски у взрослой женщины или двух с...,1
Ищу приятную девушку или женщину,1
Кунилингус и эротический массаж,1
Познакомлюсь с интересной девушкой,1
По любому будешь моей,1
Ищу взрослого Господина для совместного проживания или...,1
Пара МЖ ищет стройную рабыню до 30 лет,1
Ищу девушку для интимных отношений. Дружбу не предлагать!,1
Встречи с эмоциями,1
Познакомлюсь со строгой и активной МЖ,1
Познакомлюсь с нескромной девушкой,1
"Парень 18 лет, ищу девушку или женщину без влезания в личную...",1
"Ищу пару, которая, как и я, ищет и хочет в сексе что-то новое и...",1
Совместная мастурбация,1
"Мужчина, ищу стройную фею для нечастых встреч",1
"Девственник, хочу познакомиться с девушкой для получения опыта в...",1
Парень 22 года хочет найти девушку для секса без обязательств на...,1
"Ищу девушку для секса, хочется попробовать все, начиная от ласк,...",1
Встречусь с фантастическим парнем,1
Доведу до оргазма язычком,1
"Ищу женщину, любительницу куни",1
Кто хочет слить сейчас в рот? Приму в рот,1
Ищу женщину (девушку),1
Раб для реальных встреч,1
Ищу М для встречи в формате МЖМ,1
Инцест-дочка,1
В поисках ухоженной женщины для встречи без обязательств,1
Молодой русский мужчина,1
Ишу мущину для интим встреч,1
Подрочу на девушку,1
Дружба с семейной парой для длительных отношений,1
Ищу приключений на вечер),1
Читайте внимательно,1
Молодая девушка не против познакомиться,1
"Доброго времени суток, молодая активная девочка не откажется...",1
Нужно успеть прожить эту жизнь,1
Ищу девушку или женщину для невероятного времяпровождения,1
Сильно хочу женщину,1
"С удовольствием встречусь с женщиной или двумя, люблю делать...",1
"Ищу девушку, женщину, пару!",1
Любительница косплея познакомится с парнем,1
Транссуха Настя сисси шлюшка ищет богатого спонсора,1
Хочу найти Нижнего на постоянной Основе,1
Госпожа ищет послушного мальчика,1
Встречусь с парой для развратного секса,1
Сделаю куни!,1
Ищу девушку для секса без влезания в личную жизнь,1
Ищу девушку Москва до 40 для встречи без обязательств,1
Девственник ищет ту самую,1
"Ищу себе даму, с которой будет хорошо, будем делать друг другу...",1
Хочу секс со зрелой женщиной от 35-48,1
"Люблю лизать и спереди, и сзади, и вообще, в сексе все ваши...",1
Ищу девушку от 18-45,1
"48, холост, ищу девушку-женщину со страпоном, Москва",1
Неопытный в сексе,1
"Ищу женщину, желательно мамку",1
Орально обслужу ваш секс,1
Ищу девушку (женщину),1
"Мы пара, хотим замутить тройничок с хорошим парнем",1
Хочу оральный секс,1
"Ищу актива, Москва",1
Пообщаюсь по почте,1
Ищу девушку для классного секса до последнее капли спермы,1
Дам отсосать женщине у себя в авто,1
Встречи с парнями 18 - 20 лет,1
"Ищу женщину, фанатку куни и ани",1
"Ищу девушку, чтобы воплотить свои желания",1
Культурный хулиган ждет тебя,1
Помогу лишиться девственности мальчикам,1
"Ищу симпатичную девушку в Москве для секса без обязательств, от...",1
"Стройная, красивая девушка, 25 лет, Москва",1
Приглашу в отель женщину в возрасте,1
Кунилингус для отличного настроения,1
"Девушки, пары, пишите",1
Буду рада нашему знакомству,1
Ищу девушку в возрасте 21- 36,1
Мне 20 лет,1
Госпожа встречусь с парнем для сессии,1
Хочу женщину развратную,1
"Приглашу к себе мужчину, Москва",1
Познакомлюсь с парой мж 50-65,1
"То, что ты ищешь",1
Ищу любительницу принимать фистинг,1
"Секс без обязательств, девушки, пишите",1
Идём с тобой в поход за сказками,1
Молодая семейная пара ищет пару,1
Ищу девочку для первого опыта,1
Ищу одну единственную любовницу,1
Фото лично кину,1
Познакомлюсь с женщиной от 37 до 55 лет,1
"Встречусь с мужиком постарше, покрупнее для анонимной интимной...",1
Встречусь в авто или у тебя,1
Я могу быть разной,1
Скучно принимать душ в одиночестве,1
"В поиске партнёра для секса, МСК",1
Мужчина 47 лет хочет найти даму в Королёве,1
"Секс без обязательств, молодой парень",1
Подрочу с девушкой или для девушки,1
Мечтаю о хорошем минете (без секса и куни),1
"Ищу девушку для оральных ласк, секса без обязательств, от 19 до...",1
Ищу девушку с большими сиськами и сексуальной попкой,1
Ищу мж для секса,1
Для безумного секса,1
"Ищу девушку, которая научит всему",1
Сделаю приятно даме,1
"Парень, познакомлюсь с женщиной",1
"Сделаю куни девушке, даме до 55",1
"Привет, ищу мужчину на вечер",1
"Ищу партнершу, которая любит фетиш или бдсм",1
Как насчёт пошалить,1
Девушку с большой грудью,1
Ищу встречи с девушкой,1
"Москва, секс без обязательств",1
"Познакомлюсь с молодым, сексуальным парнем",1
"Симпатичная девушка, ищу интима и страсти",1
"Ищу девушку для бесшабашного, безграничного секса",1
Ищу мужчину по ремонту,1
Девушка из Москвы займется виртуальным сексом с мужчиной,1
"Девушки, лишите меня девственности",1
Ищу девушку от 20 до 30 лет,1
"Ищу красивую, молодую девушку",1
Ищу девочку/женщину,1
Ищу парня или мужчину для разовых встреч,1
"Ищу замужнюю, красивую",1
"Москва, парень, ищу девушку для встреч, прогулок и секса без...",1
Ищу пару для сексуальных экспериментов,1
Женщину с волосатыми дырками для жесткого траха,1
"Встречусь для приятного времени провождения, анонимность и...",1
"Супер секс, супер нежный куни, супер оргазм",1
Кто где? А я дома жду,1
Ищу женщину для виртуального секса,1
Куни и минет,1
"Ищу тех, кому интересна тема бдсм",1
"Жёстко оттрахаю женщину, возраст не важен",1
"Парень 25 лет, ищу интересную",1
Девушка 25 лет познакомится с мужчиной для БДСМ секса в Москве,1
Домина пригласит на сессию,1
"Парень, высокий, атлетичный, 22 года, ищу девушку любого...",1
Приглашу к себе домой девушку на вечер,1
Ищу опытного актива ),1
Хочу анального секса,1
"ФТМ парень, только для мужчин",1
Ищу женщину для плотских утех. В сексе люблю все,1
Хочу быть твоей шлюхой,1
Пара для мужчин,1
Ищу для встречи девушку от 20 до 40 лет. Хочу прям сейчас....,1
Молодой парень ищет девушку для свободных отношений,1
"Люблю фантазировать, экспериментировать, менять на что-то...",1
"Ищу девушку, которая составит компанию в поход в свинг-клуб 19...",1
Ищу девушку с жильём за интим,1
Ищу парней из Москвы для группового секса,1
Познакомлюсь для вирт секса в Скайпе и Вайбере,1
"Куни для девушки, женщины",1
познакомлюсь с девушкой для интимных тайных встреч для...,1
Ищу женщину для страпон-секса и фейсситинга,1
Встречусь с девушкой или трансом для приятного времяпровождения,1
"Ищу женщину 30+, я молодой парень",1
Ищу девушку на сегодняшний вечер для интима,1
"Толстый пассив, Москва",1
Познакомлюсь для постоянного секса. Коммерции нет!,1
Девушку для встреч от 18 до 27 лет),1
Ищу взрослую девушку,1
Жду красивую партнёршу,1
Жду красивого партнёрша,1
Нужен срочный перепихон,1
Куни и ани девушке,1
"Познакомлюсь с опытной дамой 18-60 для  встреч без обязательств,...",1
Минет в машине за подарок,1
Пара МЖ ищет пару МЖ или Ж,1
Холодная одинокая девушка желает встреч),1
Одиноко. Ищу любовницу,1
Пара ищет мужчину для одного раза,1
Ищу пару для встреч в формате куколд,1
"Пишите, пообщаемся)",1
Мы пара,1
Инцест- общение,1
Ищу девушку! Для секса без обязательств!,1
Секс с кавказцами,1
"Женатый мужчина 50 лет, ищет женщину для секса без обязательств....",1
"Коммерцию не предлагать, ищу красивую девушку для супер секса",1
Познакомлюсь с девушкой для реальных встреч,1
"Ищу даму для встреч, хочу все позы испробовать",1
Зрелого партнера ищу,1
"Хочу секс, женщины и девушки",1
Ищу перепихон со взрослым мужчиной или мужчинами ;),1
"Отлижу даме, пишите",1
Темпераментный мужчина хочу встретить одну и постоянную,1
"Милые дамы, пишите, я не кусаюсь",1
Ищу молодого парня для экспериментов,1
Хочу вирт в скайпе с мужчиной,1
"Женщина хочет очутиться в жарких объятиях мужчины, Москва",1
"Знакомлюсь для нечастых, но регулярных дружеских встреч",1
"Парень 22 года, секс без обязательств с девушкой до 35",1
Любительницу язычка ищу,1
Ищу женщину от 20-40,1
"Если нравлюсь, пиши",1
"Приветик, ищу мужчину, который скрасит мой вечер",1
"Дамы, обучите неопытного парня",1
"Ищу женщину, желательно 35+",1
Отдамся в хорошие умелые руки,1
"Хочу найти интим партнера, не коммерция, 24",1
Куни для дамы,1
"Молодой, хочу взрослую",1
"Молодой, русский парень познакомится с девушкой/женщиной для...",1
"Ищу раскрепощению женщину 35+, любящую секс игры",1
Ищу замужнюю любовницу для взаимного удовольствия,1
"Куни, не коммерция",1
"В Москве слишком одиноко мне и я уверен, что найду тебя",1
В поисках дамы,1
Мастер куни и не только,1
"Машина для похоти в пастели, в жизни обычный парень)",1
Ищу секс-партнера и не только,1
Ищу парня до 30 лет для вирта/обмена фото,1
Кто любит и думает о сексе каждый день,1
"Ищу девушку для кунилингуса , секса и доминирования",1
Ищу знакомства с приятной девушкой/женщиной для периодичных...,1
ищу мужчину для интим встреч,1
Проведу этот вечер не одна,1
Коварный лис проголодался),1
"Для жены, в поиске киски",1
"Ищу женщину для секса, обоюдные оральные ласки, если есть...",1
"Очень хочу познакомится с женщиной, которая любит куннилингус",1
Приглашаю к себе для горячих вечеров,1
Хочу провести вечер в компании сильного мужчины,1
Ищу девушку восточной внешности,1
Обычный мужчина хочет познакомиться с обычной девушкой,1
Разовые отношения ищу,1
"Ищу опытного актива, для проникновения в мою попку",1
Ищу постоянный виртуальный секс с Ж или МЖ парой,1
Ищу девушку или пару для анальных забав и страпона,1
"Посмотрю, как вы трахаетесь",1
"Ищу секс по видеосвязи. Готов делать все, что вы просите!",1
"Горячая девушка, ищет с кем приятно провести время, Москва",1
В поиске мужчины для секса на постоянной основе,1
"После этого, тебе будет хотеться еще!",1
Устала вечерами шалить одна?  Почитай это,1
Кто за пошалить?,1
"Просто встретимся или приеду, все обсудим по факту))",1
Секс с дамой до 55 лет куни,1
Ищу встречу с мужчиной в Москве,1
Проведу горячие летние вечера в компании мужчины,1
"Развратная, страстная красотка",1
Позову в гости,1
Ласковая и нежная ищет мужчину,1
"Если я интересен, связывайтесь, я сам парень киргиз, у меня не...",1
"Ищу девушку, женщину для интимной близости",1
Машина для похоти нуждается в механике,1
"Для вежливых мужчин, умеющих ценить радость общения с дамой",1
Домина и ее помощница ищут раба,1
"Очень не хватает мужского тепла, ласки, заботы и поддержки",1
В поиске мужа раба,1
"Девушка, 26 лет, ищу мужчину для секса",1
Гаечке нужен ключик,1
Бони ищет Клайда,1
Ищу раскрепощенную женщину для ласк язычком,1
Ищем пару/парня или девушку,1
Би-пара МЖ куколд и сексвайф,1
Девушку/женщину для секса,1
"Парень, 22 года, ищу девушку/женщину для регулярного секса",1
Ищу женщину на 1 ночь,1
Ищу женщину для секса без обязательств от 25 до 50 лет,1
Ищу девушку на долгосрок для общения и разврата.....,1
"Ищу единомышленницу, пиши",1
"Нижний в поисках Хозяйки от 40 лет, одену пояс верности,...",1
Ищу леди для интима,1
По любому будешь моя,1
Голодный мужчина ищет развратную женщину,1
"Давай красиво выпьем кофе, немного посидим вдвоём",1
Ищу единомышленников МЖМ,1
"Куни девушке, женщине, автоледи",1
Пара МЖ ищет стройную секс рабыню до 30,1
"Ищу госпожу, мне 25, люблю лизать, место есть, жду ваших...",1
Язык для приседаний),1
"Реальную девушку для куни, из Москвы, без взаимности",1
Девушки желающие удовлетворить себя пишите,1
"Добрый день, дамы, жду вас",1
Ищу девушку или женщину для секса от 20 до 38 лет,1
Ищу секса без обязательств,1
"Полижу девушке, место есть, мне 25",1
Стану служанкой рабыней или рабом мужчины любого возраста и...,1
Соскучился по женской ласке,1
"Кунечка, ищу девушку для удовольствия",1
Темнокож парень,1
Ищу партнера на постоянной основе,1
В поиске девушки для регулярных встреч,1
"Женщины, кому сделать куни",1
Симпатичный казах 26 лет ищет девушку или женщину,1
"Встречусь с юной, но опытной девушкой",1
Знакомство для секса,1
Свинг знакомства секс,1
Молодая пара пригласит к себе весёлого парня,1
Ищу партнёра для регулярного секса,1
Познакомлюсь с девушкой!,1
Встречусь на одну две ночи а там как пойдет,1
Ищу соответствующего человека,1
Готов удовлетворить желания девушек,1
Ищу девушку для несерьезных отношений,1
В поиске послушной,1
Красивая девочка встретится,1
Хочу найти женщину для встреч и занятий любовью,1
Раб для Господина,1
Симпатичная девушка с большой грудью,1
"Ищу женщину, девушку для секса",1
Ищу секс по симпатии,1
"Ищу совместное времяпрепровождение, не коммерция",1
Ищу мужчину для нечастых встреч,1
МБР и секс в авто.  Блонди в чулочках,1
Приглашу в гости мужчину,1
"Жанночка, познакомлюсь с мужчиной для сексуальных утех",1
Поделюсь опытом во всех видах интимной близости,1
Мужчина 54 года хочет найти девушку в Москве,1
"Мы пара мж, уни би",1
Господин ищет рабыню,1
Симпатичный и ласковый,1
"Ищу девушку с опытом (без), которая приедет ко мне в область",1
Мне нужен мужик,1
Нижнего для БДСМ сессий,1
Ищу стройную и молодую девушку на утренний минет и куни,1
"Ищем молодую, спортивную пару или девушку",1
Пара с разницей в возрасте познакомится с мужчиной,1
"Мужчина 34 года, хочет найти девушку в Москве",1
Пошалю для мужчины на камеру,1
Ищу Мужчину 35- 50 лет для редких встреч,1
Ищу любимую для ежедневного секса и экспериментов,1
"Дамы, лишите меня девственности!",1
Молодой парень ищет девушку (женщину) для регулярных встреч,1
Нуждаюсь в доминантной даме,1
"Ищу подругу, любовницу",1
"Ищу женщину для секса без обязательств, от 25 до 48 лет",1
Девочка любящая поиграться язычком с членом,1
"Ищу девушку, уровень разврата значения не имеет))",1
Мальчик ищет девочку,1
Мужчина 53 года хочет найти девушку в Москве,1
Старательный письколиз,1
Личная нижняя для Верха,1
"Я - нижний би, ищу даму, желательно полненькую, 50-65 лет...",1
Хочу попробовать что новое с мужчиной. Или МЖМ,1
Раб-чмошник ищет властную госпожу - доминантку,1
Если для тебя важен так же внутренний мир...,1
Секс без обязательств. Девушки от 18 до 35,1
Ищу женщину без комплексов с богатой сексуальной фантазией и...,1
Ещё одна попытка найти взаимность,1
"Ищу ту, которая очень любит анал, как и я",1
"Ищу девушку, горячую и страстную",1
"Красивая, стройная, обожаю секс",1
Ищу регулярно секс,1
Даме ласки по желанию,1
"Ищу девушку до 35, без выноса мозга, напиши мне, мы все обсудим",1
Познакомлюсь с девушкой или парой для бурного секса,1
Ищу стройную и молодую девушку на секс,1
"Хочу, хочу, хочууууу))",1
Девушка 22 года хочет найти парня для вирта в Москве,1
Ищу опытную партнершу для приятного вечера,1
Мастурбация для девушек,1
"Я пасс, ищу пару МЖ, М, транса",1
"Мужчина, встречусь с женщиной на моей территории для приятного...",1
"Для девушек и женщин, только реал",1
Ищу пару ЖЖ,1
Хочу подрочить на фото девушки,1
"Пишите, хочу встретится для секса",1
"Полная, начинающая нижняя",1
"Мы мж, ищем мужчину с толстым членом",1
"Хочу попробовать виртуальный секс, жду учителя, я способный",1
Хочу любви страстной,1
Возьму на себя ответственность за твой оргазм,1
Для толстых и жирных женщин,1
Познакомлюсь с пошлой женщиной,1
Женатик в поисках доминантной женщины,1
"Ищу себе женщину, желательно старше меня, но это необязательно",1
"Секс без обязательств, фантазия присутствует",1
Очаровательный доминант,1
Молодой парень 19 лет познакомится с открытой девушкой любого...,1
"Познакомлюсь с ж или хотелось бы с мж, для воплощения фантазии",1
